,email_id,email_class,num_chars,num_newlines,num_special_chars,num_words,num_unique_words,num_sentences,num_upper_sentences,num_lower_sentences,avg_word_size,num_small_words,freq_small_words,num_big_words,freq_big_words,num_huge_words,freq_huge_words,avg_sentence_chars,avg_sentence_words,std_sentence_chars,std_sentence_words,min_sentence_chars,min_sentence_words,max_sentence_chars,max_sentence_words,words_to_chars,unique_words_to_words,special_chars_to_chars,dots_to_chars,commas_to_chars,questionmark_to_chars,exclamationmark_to_chars,chars_to_lines,alpha_tokens_to_words,words_to_lines,flesch_kincaid,flesch,gunning_fog,coleman_liau,dale_chall,automated_readability_index,linsear_write,spache,errors
925,2153.0,0.0,12.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,12.0,2.0,12.0,2.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.9166666666666666,2.0,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,1.0
926,1514.0,0.0,525.0,10.0,13.0,81.0,61.0,5.0,5.0,0.0,4.827160493827161,36.0,0.4444444444444444,22.0,0.2716049382716049,0.0,0.0,103.4,16.2,107.61709901312152,15.380507143784303,4.0,1.0,304.0,44.0,0.15428571428571428,0.7530864197530864,0.024761904761904763,0.009523809523809525,0.007619047619047619,0.0,0.0,47.72727272727273,0.7428571428571429,7.363636363636363,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,3.0
927,1578.0,1.0,312.0,9.0,14.0,51.0,23.0,1.0,0.0,1.0,4.627450980392157,22.0,0.43137254901960786,11.0,0.21568627450980393,0.0,0.0,312.0,51.0,0.0,0.0,312.0,51.0,312.0,51.0,0.16346153846153846,0.45098039215686275,0.04487179487179487,0.0,0.01282051282051282,0.0,0.0,31.2,0.6923076923076923,5.1,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,8.0
928,1577.0,0.0,526.0,26.0,142.0,38.0,19.0,1.0,0.0,1.0,5.0,19.0,0.5,17.0,0.4473684210526316,0.0,0.0,526.0,38.0,0.0,0.0,526.0,38.0,526.0,38.0,0.07224334600760456,0.5,0.26996197718631176,0.0019011406844106464,0.0038022813688212928,0.0,0.0,19.48148148148148,0.49809885931558934,1.4074074074074072,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,13.0
929,2171.0,0.0,856.0,27.0,51.0,115.0,82.0,7.0,7.0,0.0,4.547826086956522,41.0,0.3565217391304348,21.0,0.1826086956521739,0.0,0.0,120.57142857142857,16.428571428571427,138.1488401718101,13.937176828869742,11.0,2.0,430.0,40.0,0.13434579439252337,0.7130434782608696,0.05957943925233645,0.010514018691588784,0.009345794392523364,0.0,0.0,30.571428571428573,0.7102803738317757,4.107142857142858,8.46712259371834,68.79000000000002,10.042958459979737,9.628368794326242,12.02664954407295,10.187173252279635,11.642857142857142,8.070632218844985,10.0
930,572.0,0.0,273.0,6.0,6.0,48.0,42.0,4.0,4.0,0.0,4.520833333333333,21.0,0.4375,9.0,0.1875,0.0,0.0,67.25,12.0,33.138912172852024,6.041522986797286,13.0,2.0,97.0,18.0,0.17582417582417584,0.875,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.0,0.0,39.0,0.7802197802197802,6.857142857142858,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,3.0
931,3584.0,0.0,903.0,32.0,95.0,126.0,77.0,7.0,4.0,3.0,4.182539682539683,46.0,0.36507936507936506,20.0,0.15873015873015872,0.0,0.0,127.42857142857143,18.0,144.31993936375937,14.985707476506693,7.0,1.0,419.0,43.0,0.13953488372093023,0.6111111111111112,0.10520487264673312,0.008859357696566999,0.021040974529346623,0.0011074197120708748,0.0022148394241417496,27.363636363636363,0.6035437430786268,3.818181818181818,7.288801843317973,80.6567741935484,9.631336405529954,7.483354838709676,11.967624423963134,9.362654377880183,12.642857142857142,8.288884792626728,11.0
932,101.0,0.0,342.0,10.0,7.0,66.0,48.0,6.0,6.0,0.0,4.03030303030303,36.0,0.5454545454545454,13.0,0.19696969696969696,0.0,0.0,55.833333333333336,11.0,32.83502533711355,6.429100507328637,5.0,1.0,95.0,19.0,0.19298245614035087,0.7272727272727273,0.02046783625730994,0.011695906432748537,0.005847953216374269,0.0029239766081871343,0.0,31.09090909090909,0.7719298245614035,5.999999999999999,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,3.0
933,119.0,1.0,5107.0,88.0,254.0,762.0,226.0,28.0,26.0,2.0,5.137795275590551,240.0,0.31496062992125984,228.0,0.2992125984251969,1.0,0.0013123359580052493,180.57142857142858,27.214285714285715,108.03684178868555,15.31189346987018,43.0,8.0,413.0,62.0,0.14920697082435871,0.29658792650918636,0.049735656941452905,0.004895241824946152,0.005091051497943999,0.0005874290189935383,0.0,57.38202247191011,0.754454670060701,8.561797752808989,14.49231862829571,41.770722255729794,15.799431328623127,12.571869722557299,17.19988762708944,16.900845252455625,19.589285714285715,12.057515466138204,314.0
934,3311.0,0.0,3213.0,46.0,379.0,105.0,79.0,9.0,5.0,4.0,6.104761904761904,23.0,0.21904761904761905,56.0,0.5333333333333333,0.0,0.0,313.55555555555554,11.666666666666666,284.8442502729873,10.000000000000002,55.0,2.0,1016.0,37.0,0.032679738562091505,0.7523809523809524,0.11795829442888267,0.003734827264239029,0.0028011204481792717,0.0,0.0,68.36170212765957,0.18798630563336446,2.234042553191489,9.864920634920637,48.26785714285717,7.822222222222223,15.219047619047618,13.855026984126985,12.110476190476192,10.222222222222221,9.228873015873017,43.0
935,1976.0,1.0,1983.0,18.0,50.0,308.0,100.0,22.0,16.0,6.0,5.175324675324675,136.0,0.44155844155844154,96.0,0.3116883116883117,0.0,0.0,88.54545454545455,14.0,71.2675670673728,11.820629117237065,3.0,1.0,217.0,35.0,0.15532022188603126,0.3246753246753247,0.025214321734745335,0.011094301563287948,0.0030257186081694403,0.0,0.0,104.36842105263158,0.7967725668179526,16.210526315789473,11.299480519480522,37.982792207792215,14.95064935064935,12.783896103896101,10.175250649350648,10.159870129870132,10.545454545454545,6.945467532467532,7.0
936,1218.0,1.0,819.0,25.0,33.0,117.0,46.0,11.0,5.0,6.0,5.521367521367521,28.0,0.23931623931623933,43.0,0.36752136752136755,0.0,0.0,72.9090909090909,10.636363636363637,65.19265790430775,10.906817945026424,20.0,2.0,209.0,33.0,0.14285714285714285,0.39316239316239315,0.040293040293040296,0.01221001221001221,0.004884004884004884,0.0,0.0,31.5,0.778998778998779,4.5,8.971818181818183,49.54272727272729,8.697520661157027,14.067768595041322,10.576397520661157,10.150165289256197,6.2272727272727275,7.151983471074381,5.0
937,700.0,0.0,2247.0,50.0,283.0,383.0,183.0,38.0,30.0,8.0,3.733681462140992,208.0,0.5430809399477807,42.0,0.10966057441253264,0.0,0.0,57.89473684210526,10.078947368421053,83.1111460869005,14.19485002784529,3.0,1.0,496.0,83.0,0.17044948820649755,0.47780678851174935,0.12594570538495772,0.02848242100578549,0.0053404539385847796,0.004005340453938585,0.011570983533600357,44.05882352941177,0.6266132621272809,7.509803921568628,3.789197396963125,88.63381179358376,5.633542641854094,2.3209544468546603,10.60902891882635,1.1054640940746694,5.592105263157895,6.467123130494349,7.0
938,3075.0,0.0,315.0,16.0,75.0,24.0,22.0,1.0,0.0,1.0,4.75,10.0,0.4166666666666667,6.0,0.25,0.0,0.0,315.0,24.0,0.0,0.0,315.0,24.0,315.0,24.0,0.0761904761904762,0.9166666666666666,0.23809523809523808,0.006349206349206349,0.0,0.0,0.0,18.529411764705884,0.4857142857142857,1.4117647058823533,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,9.0
939,2060.0,1.0,250.0,5.0,10.0,31.0,24.0,2.0,1.0,1.0,6.806451612903226,6.0,0.1935483870967742,18.0,0.5806451612903226,0.0,0.0,124.5,15.5,3.5,1.5,121.0,14.0,128.0,17.0,0.124,0.7741935483870968,0.04,0.004,0.0,0.0,0.0,41.666666666666664,0.844,5.166666666666666,14.705623553189966,40.76222307602538,16.446582536428263,12.131081033596727,12.121236752487656,17.11479420634544,19.67200323334454,9.573069307199175,9.0
